drug_name,num_prescriber,total_cost
HARVONI,1,1148499
ARALAST NP,1,558311
HARVONI,1,478184
HARVONI,1,382113
IMBRUVICA,1,334079
JAKAFI,1,280872
ZYTIGA,1,279782
TECFIDERA,1,263131
GLASSIA,1,238158
PROLASTIN C,1,225114
GLEEVEC,1,210275
SPIRIVA,1,202323
REVLIMID,1,193157
PROLASTIN C,1,187776
NOVOLOG FLEXPEN,1,187288
SPIRIVA,1,185896
TRUVADA,1,179787
ABILIFY,1,158771
SENSIPAR,1,157280
SYMBICORT,1,154133
REMICADE,1,150493
OFEV,1,150216
LANTUS SOLOSTAR,1,148092
LEVEMIR FLEXTOUCH,1,144943
RENVELA,1,143318
RENVELA,1,143095
JANUVIA,1,142887
LANTUS SOLOSTAR,1,137219
TRADJENTA,1,136089
REVLIMID,1,135744
SPIRIVA,1,132698
HETLIOZ,1,127731
HUMALOG KWIKPEN U-100,1,118069
XYREM,1,117323
COPAXONE,1,115936
OXYCONTIN,1,114072
EXJADE,1,113066
STRIBILD,1,111595
SYMBICORT,1,108521
OXYCONTIN,1,106498
LATUDA,1,104041
ADVAIR DISKUS,1,102842
TRACLEER,1,101662
ESBRIET,1,97156
ATRIPLA,1,94942
VICTOZA 3-PAK,1,94358
LANTUS,1,92841
GLEEVEC,1,92768
CRESTOR,2,92551
LANTUS,1,89723
TIVICAY,1,88517
ELIQUIS,1,88142
OXYCONTIN,1,87930
ADVAIR DISKUS,1,87579
ORENITRAM ER,1,86470
TRUVADA,1,83236
HUMALOG KWIKPEN U-100,1,80599
SPIRIVA,1,80012
NEXIUM,1,79680
VIAGRA,1,78817
INVEGA SUSTENNA,1,75346
LANTUS,1,75154
NOVOLOG,1,74975
TRADJENTA,1,74371
HUMALOG,1,72550
XELJANZ,1,71231
HUMULIN R U-500,1,71044
ATRIPLA,1,70517
PROLIA,1,69362
LANTUS SOLOSTAR,1,68999
NOVOLOG FLEXPEN,1,68452
LIDOCAINE,1,68432
SPIRIVA,1,68081
ELIQUIS,1,67989
NEXIUM,1,67684
LYRICA,1,67441
PRADAXA,1,65874
RENVELA,1,64933
RISPERDAL CONSTA,1,64886
LANTUS SOLOSTAR,1,64445
HUMIRA PEN,1,63978
ARIPIPRAZOLE,1,63900
SENSIPAR,1,62922
LANTUS,1,62655
ADVAIR DISKUS,1,62583
INVEGA SUSTENNA,1,62543
EPZICOM,1,61535
FORTEO,1,61526
BRILINTA,1,61341
